Param Combination,wins(large_costs),avg_pbest(large_costs),avg_time(large_costs),wins(mid_costs_tight),avg_pbest(mid_costs_tight),avg_time(mid_costs_tight),wins(mid_nocosts_loose),avg_pbest(mid_nocosts_loose),avg_time(mid_nocosts_loose),wins(mid_nocosts_tight),avg_pbest(mid_nocosts_tight),avg_time(mid_nocosts_tight),wins(small_costs),avg_pbest(small_costs),avg_time(small_costs),wins(small_nocosts),avg_pbest(small_nocosts),avg_time(small_nocosts)
max_unimprove_iter:0_mutators:0_num_restarts:0_reaction_factor:0,0,0.543,4.603,0,0.464,1.969,0,0.828,1.883,0,0.636,1.703,2,0.727,0.469,0,0.745,0.461
max_unimprove_iter:0_mutators:0_num_restarts:1_reaction_factor:0,0,0.559,13.004,0,0.48,5.809,0,0.843,5.464,0,0.707,5.519,2,0.73,1.55,0,0.717,1.559
max_unimprove_iter:0_mutators:0_num_restarts:2_reaction_factor:0,0,0.563,17.432,0,0.478,8.067,0,0.838,7.828,0,0.69,8.15,2,0.744,2.228,0,0.739,2.216
max_unimprove_iter:0_mutators:0_num_restarts:0_reaction_factor:1,0,0.575,4.487,0,0.444,1.877,0,0.808,1.733,0,0.596,2.078,1,0.709,0.464,0,0.687,0.459
max_unimprove_iter:0_mutators:0_num_restarts:1_reaction_factor:1,0,0.571,12.851,0,0.481,5.823,0,0.841,5.542,0,0.687,6.506,2,0.734,1.601,0,0.741,1.547
max_unimprove_iter:0_mutators:0_num_restarts:2_reaction_factor:1,0,0.576,18.242,0,0.469,8.039,0,0.847,7.82,0,0.692,9.022,2,0.747,2.259,0,0.757,2.281
max_unimprove_iter:0_mutators:0_num_restarts:0_reaction_factor:2,0,0.571,4.939,0,0.453,1.981,0,0.819,1.755,0,0.672,2.103,1,0.721,0.475,0,0.72,0.584
max_unimprove_iter:0_mutators:0_num_restarts:1_reaction_factor:2,0,0.556,12.964,0,0.491,5.9,0,0.833,5.559,0,0.682,6.437,2,0.725,1.964,0,0.77,1.92
max_unimprove_iter:0_mutators:0_num_restarts:2_reaction_factor:2,0,0.602,17.763,0,0.485,8.151,0,0.84,7.8,0,0.689,7.597,2,0.75,2.734,0,0.776,2.701
max_unimprove_iter:0_mutators:1_num_restarts:0_reaction_factor:0,0,0.642,4.725,0,0.588,2.028,0,0.841,1.659,0,0.757,1.628,4,0.909,0.565,3,0.86,0.563
max_unimprove_iter:0_mutators:1_num_restarts:1_reaction_factor:0,0,0.692,12.979,0,0.614,5.772,0,0.885,5.445,0,0.809,5.387,4,0.941,1.905,3,0.909,1.905
max_unimprove_iter:0_mutators:1_num_restarts:2_reaction_factor:0,0,0.698,17.592,0,0.639,8.237,0,0.88,7.556,0,0.762,7.5,3,0.944,2.631,3,0.917,2.685
max_unimprove_iter:0_mutators:1_num_restarts:0_reaction_factor:1,0,0.66,5.103,0,0.51,1.903,0,0.869,1.825,0,0.736,1.822,4,0.886,0.555,0,0.859,0.557
max_unimprove_iter:0_mutators:1_num_restarts:1_reaction_factor:1,0,0.701,13.159,0,0.617,5.883,0,0.879,5.475,0,0.781,5.397,3,0.935,1.828,0,0.869,1.854
max_unimprove_iter:0_mutators:1_num_restarts:2_reaction_factor:1,0,0.673,17.692,0,0.636,8.097,0,0.876,7.731,0,0.824,8.95,5,0.931,2.615,2,0.891,2.42
max_unimprove_iter:0_mutators:1_num_restarts:0_reaction_factor:2,0,0.627,5.097,0,0.572,2.042,0,0.838,1.727,0,0.761,2.081,4,0.902,0.467,0,0.829,0.476
max_unimprove_iter:0_mutators:1_num_restarts:1_reaction_factor:2,0,0.65,12.959,0,0.574,5.85,0,0.866,5.364,0,0.803,6.453,5,0.942,1.548,3,0.897,1.53
max_unimprove_iter:0_mutators:1_num_restarts:2_reaction_factor:2,0,0.688,17.739,0,0.587,8.029,0,0.89,7.561,0,0.78,8.862,4,0.926,2.181,3,0.908,2.212
max_unimprove_iter:1_mutators:0_num_restarts:0_reaction_factor:0,0,0.678,34.826,0,0.526,14.395,0,0.871,13.02,0,0.732,13.203,3,0.79,3.573,0,0.766,3.617
max_unimprove_iter:1_mutators:0_num_restarts:1_reaction_factor:0,0,0.7,103.479,0,0.525,44.621,0,0.871,42.641,0,0.761,45.174,2,0.751,13.275,0,0.78,13.639
max_unimprove_iter:1_mutators:0_num_restarts:2_reaction_factor:0,0,0.728,142.903,0,0.549,62.764,0,0.874,59.474,0,0.763,64.858,2,0.761,18.948,0,0.776,18.709
